title,year,certificate,duration,genre,rating,description,stars,votes
Better Call Saul,(20152022),TV-MA,46 min,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrick Fabian']","501,384"
Breaking Bad,(20082013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340"
The Walking Dead,(20102022),TV-MA,44 min,"Drama, Horror, Thriller",8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln, ', 'Norman Reedus, ', 'Melissa McBride, ', 'Lauren Cohan']","970,060"
Peaky Blinders,(20132022),TV-MA,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","531,058"
Supernatural,(20052020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","439,597"
Friends,(19942004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424"
Shameless,(20112021),TV-MA,46 min,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum, ', 'William H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen White']","239,541"
Modern Family,(20092020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"[""Ed O'Neill"," """""
Ozark,(20172022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","['Jason Bateman, ', 'Laura Linney, ', 'Sofia Hublitz, ', 'Skylar Gaertner']","309,552"
Suits,(20112019),TV-14,44 min,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","['Gabriel Macht, ', 'Patrick J. Adams, ', 'Meghan Markle, ', 'Sarah Rafferty']","405,863"
Vikings,(20132020),TV-MA,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","['Katheryn Winnick, ', 'Gustaf Skarsgrd, ', 'Alexander Ludwig, ', 'Georgia Hirst']","524,630"
Seinfeld,(19891998),TV-PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']","314,089"
Lucifer,(20162021),TV-14,42 min,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","318,928"
The Umbrella Academy,(20192023),TV-14,60 min,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","['Elliot Page, ', 'Tom Hopper, ', 'David Castaeda, ', 'Emmy Raver-Lampman']","243,344"
The Last Kingdom,(20152022),TV-MA,60 min,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","['Alexander Dreymon, ', 'Eliza Butterworth, ', 'Arnas Fedaravicius, ', 'Mark Rowley']","136,936"
Black Mirror,(20112019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","535,782"
Brooklyn Nine-Nine,(20132021),TV-14,22 min,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","['Andy Samberg, ', 'Stephanie Beatriz, ', 'Terry Crews, ', 'Melissa Fumero']","309,004"
Gilmore Girls,(20002007),TV-PG,44 min,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","['Lauren Graham, ', 'Alexis Bledel, ', 'Keiko Agena, ', 'Scott Patterson']","124,087"
Never Have I Ever,(20202023),TV-14,30 min,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","['Maitreyi Ramakrishnan, ', 'Poorna Jagannathan, ', 'Darren Barnet, ', 'John McEnroe']","56,216"
